User_ID,Country,Device_Type,Traffic_Source,Time_Spent_Minutes,Pages_Viewed,Added_to_Cart,Purchased,Price
4174.0,IND,Tablet,Referral,,8.0,1.0,1.0,243.71
4507.0,india,desktop,Social,0.2,12.0,1.0,0.0,284.22
1860.0,usa,mobile,Referral,1.61,4.0,0.0,0.0,386.44
2294.0,Uk,Mobile,Referral,0.1,8.0,0.0,0.0,123.44
2130.0,IND,mobile,Referral,2.22,2.0,1.0,0.0,412.43
2095.0,india,Mobile,Paid Ads,1.5,,1.0,1.0,
4772.0,,Desktop,Organic,5.83,12.0,0.0,0.0,399.84
4092.0,IND,Tablet,Paid Ads,1.84,10.0,0.0,0.0,389.07
2638.0,Uk,desktop,Referral,2.35,15.0,1.0,1.0,154.38
3169.0,India,mobile,Paid Ads,6.46,9.0,0.0,0.0,365.32
1466.0,USA,mobile,Social,3.28,9.0,1.0,1.0,110.93
2238.0,india,mobile,Social,4.06,7.0,0.0,0.0,
,usa,mobile,Paid Ads,9.21,2.0,0.0,0.0,351.79
2482.0,India,Tablet,Paid Ads,1.16,7.0,0.0,1.0,358.78
3135.0,india,Mobile,,1131.5,9.0,0.0,0.0,9831.0
4444.0,India,,Paid Ads,,18.0,1.0,1.0,95.09
4171.0,usa,Desktop,Paid Ads,1.69,12.0,1.0,0.0,243.0
3919.0,india,Tablet,Organic,11.17,7.0,1.0,1.0,440.65
4735.0,Uk,Tablet,Paid Ads,7.01,19.0,1.0,1.0,282.95
1130.0,Uk,Desktop,Paid Ads,13.35,16.0,1.0,1.0,438.81
2685.0,usa,Tablet,Paid Ads,5.87,8.0,,1.0,219.86
4380.0,,Mobile,Paid Ads,5.61,19.0,0.0,0.0,398.7
1769.0,usa,desktop,Paid Ads,0.02,6.0,0.0,1.0,435.67
3391.0,IND,Desktop,Referral,3.22,,1.0,0.0,423.99
2515.0,india,mobile,Paid Ads,1.12,2.0,0.0,0.0,436.33
4485.0,IND,Mobile,Organic,1.96,8.0,1.0,0.0,nan
3853.0,india,desktop,Paid Ads,19.27,10.0,1.0,0.0,222.3
3433.0,india,Mobile,Referral,0.45,11.0,0.0,1.0,91.41
2215.0,UK,,Organic,6.41,3.0,1.0,1.0,94.37
1955.0,USA,mobile,Organic,0.95,16.0,,0.0,246.47
3324.0,india,desktop,Paid Ads,0.04,3.0,1.0,1.0,480.24
2184.0,IND,Mobile,Social,3.48,8.0,1.0,1.0,298.0
1459.0,USA,mobile,Referral,0.88,19.0,1.0,0.0,427.65
4385.0,USA,Desktop,Social,16.83,12.0,0.0,,468.91
1021.0,india,mobile,Paid Ads,1.14,18.0,0.0,0.0,47.85
3300.0,usa,Tablet,Referral,1.07,13.0,0.0,,85.22
1747.0,usa,mobile,Social,0.16,11.0,0.0,0.0,148.97
3904.0,Uk,mobile,Referral,2.0,13.0,1.0,1.0,310.3
4632.0,USA,mobile,,,3.0,0.0,0.0,35.56
1474.0,india,Mobile,Referral,3.45,6.0,0.0,1.0,394.39
2082.0,UK,desktop,Paid Ads,3.52,3.0,0.0,1.0,36.58
3558.0,usa,mobile,Social,0.27,1.0,0.0,1.0,83.42
4753.0,UK,mobile,Referral,1.37,14.0,1.0,0.0,193.95
3047.0,india,Tablet,Organic,8.92,,0.0,0.0,281.07
4547.0,,,Paid Ads,3.1,9.0,1.0,1.0,441.34
3747.0,USA,Desktop,Referral,2.85,1.0,0.0,0.0,482.05
1975.0,UK,Desktop,Organic,6.0,10.0,0.0,1.0,
2806.0,Uk,Tablet,Organic,6.27,13.0,0.0,1.0,57.99
1189.0,USA,desktop,Organic,7.18,12.0,0.0,1.0,317.46
4005.0,India,Desktop,Organic,,4.0,0.0,1.0,223.65
3734.0,UK,desktop,Paid Ads,1.32,7.0,0.0,1.0,67.27
4005.0,usa,Tablet,Referral,0.34,10.0,0.0,1.0,279.78
1562.0,usa,Desktop,Organic,2.39,7.0,0.0,1.0,181.55
2899.0,usa,mobile,Referral,9.66,15.0,0.0,1.0,176.16
,IND,Tablet,Referral,0.41,19.0,1.0,0.0,
2267.0,india,,Social,,7.0,0.0,0.0,489.53
3879.0,USA,desktop,Referral,6.04,14.0,0.0,,364.35
2528.0,usa,desktop,Paid Ads,3.28,14.0,0.0,1.0,143.77
4202.0,India,Desktop,Paid Ads,1.47,18.0,1.0,0.0,459.15
4556.0,usa,desktop,Organic,,10.0,1.0,1.0,474.3
4890.0,Uk,Desktop,Referral,0.37,3.0,0.0,1.0,406.14
1646.0,india,Desktop,Paid Ads,1.73,6.0,0.0,0.0,331.36
3068.0,UK,desktop,Paid Ads,0.23,9.0,,1.0,191.31
